run_id,created_at,model_name,coverage,avg_confidence,positive_ratio,negative_ratio,neutral_ratio
eval-da9a7dcbb5f5,2026-03-26T18:37:25+00:00,nlp_baseline,1.0,0.0,0.0,0.001,0.999
eval-6fff2186766f,2026-03-27T05:30:29+00:00,nlp_baseline,1.0,0.003,0.003,0.002,0.996
eval-8a1ba4f7d617,2026-03-27T05:32:38+00:00,nlp_baseline,1.0,0.003,0.003,0.002,0.995
eval-a9ba249fd715,2026-03-27T05:38:24+00:00,nlp_baseline,1.0,0.004,0.003,0.002,0.995
eval-081c86af2ee9,2026-03-27T09:39:31+00:00,nlp_baseline,1.0,0.184,0.157,0.096,0.747
eval-32ef9320a7fa,2026-03-27T09:39:53+00:00,nlp_baseline,1.0,0.184,0.157,0.096,0.747
eval-91653bff15de,2026-03-27T09:46:33+00:00,nlp_baseline,1.0,0.185,0.158,0.096,0.746
eval-33b22727c539,2026-03-27T09:57:29+00:00,nlp_baseline,1.0,0.185,0.158,0.096,0.746
eval-18b3495bacf8,2026-03-27T10:57:28+00:00,nlp_baseline,1.0,0.186,0.159,0.096,0.745
eval-dc0d4a79638f,2026-03-27T11:01:42+00:00,nlp_baseline,1.0,0.186,0.159,0.096,0.745
eval-e04ab3fd6037,2026-03-27T11:05:53+00:00,nlp_baseline,1.0,0.187,0.16,0.096,0.744
eval-89dd5e3625d2,2026-03-27T11:07:04+00:00,nlp_baseline,1.0,0.187,0.16,0.097,0.744
eval-8a42084ca988,2026-03-27T11:11:52+00:00,nlp_baseline,1.0,0.187,0.16,0.097,0.743
eval-1e073684da3c,2026-03-27T11:14:51+00:00,nlp_baseline,1.0,0.187,0.16,0.097,0.743
eval-4974115f6cc0,2026-03-27T11:17:47+00:00,nlp_baseline,1.0,0.187,0.16,0.097,0.743
eval-3615432b64ca,2026-03-27T11:25:22+00:00,nlp_baseline,1.0,0.188,0.161,0.097,0.742
eval-43123ee5f8b6,2026-03-27T11:29:21+00:00,nlp_baseline,1.0,0.188,0.161,0.097,0.742
eval-8a7ac6322edc,2026-03-27T11:34:49+00:00,nlp_baseline,1.0,0.188,0.162,0.097,0.741
eval-a5ce2138c28c,2026-03-27T13:24:25+00:00,nlp_baseline,1.0,0.189,0.162,0.098,0.74
eval-e61f32925fd6,2026-03-27T13:25:42+00:00,nlp_baseline,1.0,0.189,0.162,0.098,0.74
eval-65e908c85007,2026-03-27T16:39:34+00:00,nlp_baseline,1.0,0.19,0.164,0.099,0.737
eval-0d374b51ee24,2026-03-30T17:53:58+00:00,nlp_baseline,1.0,0.191,0.164,0.099,0.736
