product,source,name,brand,categories,ingredients,quantity,packaging,labels,countries,stores,image_url,barcode
Neutrogena Ultra Sheer Dry-Touch Sunscreen,open_beauty_facts,Neutrogena Ultra Sheer Dry-Touch Sunblock,Neutrogena,"Non food products, Open Beauty Facts, Cosmetic products",,30ml,N/A,,India,,https://images.openbeautyfacts.org/images/products/890/101/218/5292/front_en.5.400.jpg,8901012185292
Neutrogena Ultra Sheer Dry-Touch Sunscreen,open_beauty_facts,Ultra Sheer Dry-Touch Sunscreen with Helioplex,Neutrogena,Sunscreen,"Homosalate (15%), Octocrylene (10%), Oxybenzone (6%), Octisalate (5%), Avobenzone (3%), Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Acrylates/ Dimethicone Copolymer, BHT, Cera Alba, Chlorphenesin, Cyclopentasiloxane, Diethylhexyl 2, 6-Naphthalate, Dipotassium Glycyrrhizate, Disodium EDTA, Ethylhexylglycerin, Glyceryl Stearate, Methylisothiazolinone, Parfum, PEG-8 Laurate, PEG-100 Stearate, Silica, Styrene/Acrylates Copolymer, Triethanolamine, Water (eau).",88 mL,plastic,Dermatologically tested,Canada,N/A,https://images.openbeautyfacts.org/images/products/006/260/095/3674/front_en.7.400.jpg,0062600953674
Neutrogena Ultra Sheer Dry-Touch Sunscreen,open_beauty_facts,Ultra sheer body mist sunscreen,Neutrogena,N/A,N/A,,N/A,N/A,en:US,N/A,https://images.openbeautyfacts.org/images/products/008/680/010/0393/front_en.3.400.jpg,0086800100393
Neutrogena Ultra Sheer Dry-Touch Sunscreen,open_beauty_facts,Ultra sheer dry touch sunscreen 70,Neutrogena,N/A,N/A,N/A,N/A,N/A,en:United States,N/A,https://images.openbeautyfacts.org/images/products/008/680/007/8517/front_en.3.400.jpg,0086800078517
Neutrogena Ultra Sheer Dry-Touch Sunscreen,open_beauty_facts,Ultra Sheer Body Mist,Neutrogena,N/A,N/A,N/A,N/A,N/A,en:United States,N/A,https://images.openbeautyfacts.org/images/products/008/680/010/0409/front_fr.3.400.jpg,0086800100409
La Roche-Posay Anthelios Melt-in Milk Sunscreen,open_beauty_facts,anthelios xl,La Roche Posay,Crèmes solaire,N/A,50 ml,plastique,N/A,en:France,N/A,https://images.openbeautyfacts.org/images/products/333/787/549/1822/front_fr.4.400.jpg,3337875491822
La Roche-Posay Anthelios Melt-in Milk Sunscreen,open_beauty_facts,anthelios,la Roche Posay,,,200ml,200ml,,France,,https://images.openbeautyfacts.org/images/products/333/787/241/4510/front_fr.13.400.jpg,3337872414510
La Roche-Posay Anthelios Melt-in Milk Sunscreen,open_beauty_facts,Anthelios dermo-pediatrics,la roche posay,crema solar,AQUA / WATER • ALCOHOL DENAT. • HOMOSALATE • ETHYLHEXYL SALICYLATE • BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE • ETHYLHEXYL TRIAZONE • BUTYL METHOXYDIBENZOYLMETHANE • GLYCERIN • PROPANEDIOL • C12-22 ALKYL ACRYLATE/HYDROXYETHYLACRYLATE COPOLYMER • DROMETRIZOLE TRISILOXANE • DIISOPROPYL ADIPATE • DIISOPROPYL SEBACATE • DICAPRYLYL ETHER • TOCOPHEROL • ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER • CAPRYLYL GLYCOL • SODIUM POLYACRYLATE • TRISODIUM ETHYLENEDIAMINE DISUCCINATE,250ml,eco conscious tube,N/A,Países Bajos,etos,https://images.openbeautyfacts.org/images/products/000/001/376/2179/front_fr.4.400.jpg,13762179
La Roche-Posay Anthelios Melt-in Milk Sunscreen,open_beauty_facts,La roche posay Anthelios oíl control con color,N/A,N/A,N/A,N/A,N/A,N/A,en:Venezuela,N/A,https://images.openbeautyfacts.org/images/products/333/787/584/7087/front_en.3.400.jpg,3337875847087
La Roche-Posay Anthelios Melt-in Milk Sunscreen,open_beauty_facts,Anthelios,La roche posay,N/A,,1,N/A,N/A,en:France,N/A,https://images.openbeautyfacts.org/images/products/333/787/554/8533/front_fr.3.400.jpg,3337875548533
CeraVe Hydrating Mineral Sunscreen SPF 50,open_beauty_facts,Hydrating mineral sunscreen spf50,CeraVe,N/A,N/A,N/A,N/A,N/A,en:United States,N/A,https://images.openbeautyfacts.org/images/products/360/600/051/4959/front_en.5.400.jpg,3606000514959
Supergoop Unseen Sunscreen SPF 40,open_beauty_facts,Unseen Sunscreen,Supergoop,N/A,"Avobenzone, 3%, Homosalate 8%, Octisalate 5%, Octocrylene 4%, Isododecane, Dimethicone Crosspolymer, Dimethicone/Bis-Isobutyl PPG-20 Crosspolymer, Polymethylsilsesquioxane, Isohexadecane, Dicaprylyl Carbonate, Meadowfoam Estolide, Caprylic/Capric Triglyceride, Polyester-7, Neopentyl Glycol Diheptanoate, Lithothamnion Calcareum Extract, Caprylyl Glycol, Butyrospermum Parkii (Shea) Butter, Jojoba Esters, Mannitol, Olibanum, Lecithin, Microcrystalline Cellulose, Diatomaceous Earth, Zinc Sulfate, Silica, Tocopherol",N/A,N/A,N/A,en:united-states,N/A,https://images.openbeautyfacts.org/images/products/081/621/802/6530/front_en.3.400.jpg,0816218026530
