product,source,type,title,text,combined_text,news_source,date,url
Neutrogena Ultra Sheer Dry-Touch Sunscreen,google_news,article,"The best sunscreens of 2026, according to dermatologists and our own testing","<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxOSzk4NTZCcTZVS2huTTItMUpwbUYzUmhlbmF3TGJuUGYxajU0RmQxUlhQTGZLVmdoMGVnaUVDX3MtNU5XdU42Y1JTTVFEU05ET3k3TTlpVk5pbHdGSld5R2pFaHRNb2NsNGoyZWNCNVJtX0VQOVRfYmZVM01aSzBBZElxOFUyejdpUlE4eWdRQVQ0elVXTWt6dlZoYWZiZm9KQ0M4TTRzM0h5aHc?oc=5"" target=""_blank"">The best sunscreens of 2026, according to dermatologists and our own testing</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo</font>","The best sunscreens of 2026, according to dermatologists and our own testing <a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxOSzk4NTZCcTZVS2huTTItMUpwbUYzUmhlbmF3TGJuUGYxajU0RmQxUlhQTGZLVmdoMGVnaUVDX3MtNU5XdU42Y1JTTVFEU05ET3k3TTlpVk5pbHdGSld5R2pFaHRNb2NsNGoyZWNCNVJtX0VQOVRfYmZVM01aSzBBZElxOFUyejdpUlE4eWdRQVQ0elVXTWt6dlZoYWZiZm9KQ0M4TTRzM0h5aHc?oc=5"" target=""_blank"">The best sunscreens of 2026, according to dermatologists and our own testing</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yahoo</font>",Yahoo,2026-03-20,https://news.google.com/rss/articles/CBMiqwFBVV95cUxOSzk4NTZCcTZVS2huTTItMUpwbUYzUmhlbmF3TGJuUGYxajU0RmQxUlhQTGZLVmdoMGVnaUVDX3MtNU5XdU42Y1JTTVFEU05ET3k3TTlpVk5pbHdGSld5R2pFaHRNb2NsNGoyZWNCNVJtX0VQOVRfYmZVM01aSzBBZElxOFUyejdpUlE4eWdRQVQ0elVXTWt6dlZoYWZiZm9KQ0M4TTRzM0h5aHc?oc=5
Neutrogena Ultra Sheer Dry-Touch Sunscreen,google_news,article,"SPF stock-up: 3 tubes of Neutrogena, only $18 for all","<a href=""https://news.google.com/rss/articles/CBMilwFBVV95cUxQOU0xd29JcnhLV2tDZWNsVHpkVnZsY3NRWVVIczdWY1BOMjh2YjJJd2JaYWRBVk9yNF9XVGJNYU1Da1puN3hXNm5RbHk4QmdjMGE2NXcwb3RucjN2QUE3OWgwZTI3cGZkZk43c0lYYjNsejJkZ2JhMDBoSEhfZkx1WUdsM3U0ZFhockdhZ1V0RWc4bUhsUjhV?oc=5"" target=""_blank"">SPF stock-up: 3 tubes of Neutrogena, only $18 for all</a>&nbsp;&nbsp;<font color=""#6f6f6f"">New York Post</font>","SPF stock-up: 3 tubes of Neutrogena, only $18 for all <a href=""https://news.google.com/rss/articles/CBMilwFBVV95cUxQOU0xd29JcnhLV2tDZWNsVHpkVnZsY3NRWVVIczdWY1BOMjh2YjJJd2JaYWRBVk9yNF9XVGJNYU1Da1puN3hXNm5RbHk4QmdjMGE2NXcwb3RucjN2QUE3OWgwZTI3cGZkZk43c0lYYjNsejJkZ2JhMDBoSEhfZkx1WUdsM3U0ZFhockdhZ1V0RWc4bUhsUjhV?oc=5"" target=""_blank"">SPF stock-up: 3 tubes of Neutrogena, only $18 for all</a>&nbsp;&nbsp;<font color=""#6f6f6f"">New York Post</font>",New York Post,2026-03-17,https://news.google.com/rss/articles/CBMilwFBVV95cUxQOU0xd29JcnhLV2tDZWNsVHpkVnZsY3NRWVVIczdWY1BOMjh2YjJJd2JaYWRBVk9yNF9XVGJNYU1Da1puN3hXNm5RbHk4QmdjMGE2NXcwb3RucjN2QUE3OWgwZTI3cGZkZk43c0lYYjNsejJkZ2JhMDBoSEhfZkx1WUdsM3U0ZFhockdhZ1V0RWc4bUhsUjhV?oc=5
Neutrogena Ultra Sheer Dry-Touch Sunscreen,google_news,article,Oily-Skin Shoppers Love the ‘Matte Finish’ on This SPF 70 Face Lotion — & It’s 50% Off,"<a href=""https://news.google.com/rss/articles/CBMilwFBVV95cUxQVVBhWGtYZ2pWQUR2U3hULXBFRERQLWtJMGh5blAxNVJyampIZ2Q3aURTeG9ncXpWdF85anQwc1g4d0pyZVJicXBYU0NBZkNLZU95TmZzWTZOSFlRa0JkWldfU1RXbVZHSC1YZlVZcmxiMkhoQ0dDWURXM3VMcUJpbHdIVm01TWRGUU42UFVOa1V3S04xQnJ3?oc=5"" target=""_blank"">Oily-Skin Shoppers Love the ‘Matte Finish’ on This SPF 70 Face Lotion — & It’s 50% Off</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SheKnows</font>","Oily-Skin Shoppers Love the ‘Matte Finish’ on This SPF 70 Face Lotion — & It’s 50% Off <a href=""https://news.google.com/rss/articles/CBMilwFBVV95cUxQVVBhWGtYZ2pWQUR2U3hULXBFRERQLWtJMGh5blAxNVJyampIZ2Q3aURTeG9ncXpWdF85anQwc1g4d0pyZVJicXBYU0NBZkNLZU95TmZzWTZOSFlRa0JkWldfU1RXbVZHSC1YZlVZcmxiMkhoQ0dDWURXM3VMcUJpbHdIVm01TWRGUU42UFVOa1V3S04xQnJ3?oc=5"" target=""_blank"">Oily-Skin Shoppers Love the ‘Matte Finish’ on This SPF 70 Face Lotion — & It’s 50% Off</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SheKnows</font>",SheKnows,2026-01-04,https://news.google.com/rss/articles/CBMilwFBVV95cUxQVVBhWGtYZ2pWQUR2U3hULXBFRERQLWtJMGh5blAxNVJyampIZ2Q3aURTeG9ncXpWdF85anQwc1g4d0pyZVJicXBYU0NBZkNLZU95TmZzWTZOSFlRa0JkWldfU1RXbVZHSC1YZlVZcmxiMkhoQ0dDWURXM3VMcUJpbHdIVm01TWRGUU42UFVOa1V3S04xQnJ3?oc=5
Neutrogena Ultra Sheer Dry-Touch Sunscreen,google_news,article,The Best Clear Sunscreens That Truly Disappear on Skin,"<a href=""https://news.google.com/rss/articles/CBMiXEFVX3lxTE5OUE9ybFFzOXlJaUc1amYyR2w2TFVZMl91andLcWl5NnBQVUVOQ3lqanpKUVlNQXFXUDRQeDFMUW9lb2s4NkMwVE5CQ1k2WXpwaUxxb0RPeEJ0cmM3?oc=5"" target=""_blank"">The Best Clear Sunscreens That Truly Disappear on Skin</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NewBeauty</font>","The Best Clear Sunscreens That Truly Disappear on Skin <a href=""https://news.google.com/rss/articles/CBMiXEFVX3lxTE5OUE9ybFFzOXlJaUc1amYyR2w2TFVZMl91andLcWl5NnBQVUVOQ3lqanpKUVlNQXFXUDRQeDFMUW9lb2s4NkMwVE5CQ1k2WXpwaUxxb0RPeEJ0cmM3?oc=5"" target=""_blank"">The Best Clear Sunscreens That Truly Disappear on Skin</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NewBeauty</font>",NewBeauty,2026-03-12,https://news.google.com/rss/articles/CBMiXEFVX3lxTE5OUE9ybFFzOXlJaUc1amYyR2w2TFVZMl91andLcWl5NnBQVUVOQ3lqanpKUVlNQXFXUDRQeDFMUW9lb2s4NkMwVE5CQ1k2WXpwaUxxb0RPeEJ0cmM3?oc=5
Neutrogena Ultra Sheer Dry-Touch Sunscreen,google_news,article,I Tested 54 Sunscreens Over 2 Months in Hawai’i — and These 13 Best Protect My Fair Skin,"<a href=""https://news.google.com/rss/articles/CBMiVEFVX3lxTE1NVGpILWxZclBkMi0zaFAzcUVjRURKLXNKa3dBVHUtUDNMNUk4N0lLbERJRHJ3RW9FT3F1S1UyWDVYRXhHd0hfaWpmcVBUWkZfS1NoTA?oc=5"" target=""_blank"">I Tested 54 Sunscreens Over 2 Months in Hawai’i — and These 13 Best Protect My Fair Skin</a>&nbsp;&nbsp;<font color=""#6f6f6f"">People.com</font>","I Tested 54 Sunscreens Over 2 Months in Hawai’i — and These 13 Best Protect My Fair Skin <a href=""https://news.google.com/rss/articles/CBMiVEFVX3lxTE1NVGpILWxZclBkMi0zaFAzcUVjRURKLXNKa3dBVHUtUDNMNUk4N0lLbERJRHJ3RW9FT3F1S1UyWDVYRXhHd0hfaWpmcVBUWkZfS1NoTA?oc=5"" target=""_blank"">I Tested 54 Sunscreens Over 2 Months in Hawai’i — and These 13 Best Protect My Fair Skin</a>&nbsp;&nbsp;<font color=""#6f6f6f"">People.com</font>",People.com,2025-12-04,https://news.google.com/rss/articles/CBMiVEFVX3lxTE1NVGpILWxZclBkMi0zaFAzcUVjRURKLXNKa3dBVHUtUDNMNUk4N0lLbERJRHJ3RW9FT3F1S1UyWDVYRXhHd0hfaWpmcVBUWkZfS1NoTA?oc=5
Neutrogena Ultra Sheer Dry-Touch Sunscreen,google_news,article,Beneficial Extra-Sheer Sunscreens,"<a href=""https://news.google.com/rss/articles/CBMid0FVX3lxTFBZazh1Z2xpWXNiSWd4RXMtTUZNdmU4b3VVZ1oxTVlhaWw5emowT1BQb1E4Wm5DMzA2NG1ON1pGS2RqblF3b194a1FZTzg0RDdjdDg4M0Q1WVB3ZGNmRGxBUUYwejR0Q3BmWWhtaTBhd1BWanVvQ2VB0gF8QVVfeXFMTlM0VTBPWEhYUnd0MjlTZHo0YzRzSmExZGtJODBNSFd6Qjg1MWRuV0dpakRHVGRkc0NycWh6ZjRvcWVVZUQ0elZqXzQ1eTdvZFJNS0RZeFhQcmtDVFVNRWdqNEU1Vnd5WWNwUHc1SU1aSVNDMUkwNzBpLWxFbQ?oc=5"" target=""_blank"">Beneficial Extra-Sheer Sunscreens</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Trend Hunter</font>","Beneficial Extra-Sheer Sunscreens <a href=""https://news.google.com/rss/articles/CBMid0FVX3lxTFBZazh1Z2xpWXNiSWd4RXMtTUZNdmU4b3VVZ1oxTVlhaWw5emowT1BQb1E4Wm5DMzA2NG1ON1pGS2RqblF3b194a1FZTzg0RDdjdDg4M0Q1WVB3ZGNmRGxBUUYwejR0Q3BmWWhtaTBhd1BWanVvQ2VB0gF8QVVfeXFMTlM0VTBPWEhYUnd0MjlTZHo0YzRzSmExZGtJODBNSFd6Qjg1MWRuV0dpakRHVGRkc0NycWh6ZjRvcWVVZUQ0elZqXzQ1eTdvZFJNS0RZeFhQcmtDVFVNRWdqNEU1Vnd5WWNwUHc1SU1aSVNDMUkwNzBpLWxFbQ?oc=5"" target=""_blank"">Beneficial Extra-Sheer Sunscreens</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Trend Hunter</font>",Trend Hunter,2025-12-21,https://news.google.com/rss/articles/CBMid0FVX3lxTFBZazh1Z2xpWXNiSWd4RXMtTUZNdmU4b3VVZ1oxTVlhaWw5emowT1BQb1E4Wm5DMzA2NG1ON1pGS2RqblF3b194a1FZTzg0RDdjdDg4M0Q1WVB3ZGNmRGxBUUYwejR0Q3BmWWhtaTBhd1BWanVvQ2VB0gF8QVVfeXFMTlM0VTBPWEhYUnd0MjlTZHo0YzRzSmExZGtJODBNSFd6Qjg1MWRuV0dpakRHVGRkc0NycWh6ZjRvcWVVZUQ0elZqXzQ1eTdvZFJNS0RZeFhQcmtDVFVNRWdqNEU1Vnd5WWNwUHc1SU1aSVNDMUkwNzBpLWxFbQ?oc=5
Neutrogena Ultra Sheer Dry-Touch Sunscreen,google_news,article,Neutrogena’s White-Cast-Free Sunscreen Stick Is $15 | The Strategist,"<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxPcEFUSjRyV0lmOGd0MGZRNFhLZnRzRE04cmpKWThjNjlBUGtkcmlxUW9kb0VuWjQwVkVMUURyREV4NEhseEhNRmNHdTlrTlh4Q0hpT1BKV3dYNE9SWHFfeUJYaXZMNUhJaWNvYlRQRmxSdmpISkpYUDlmUjU4d29yeloweUZGZzhwYUJWVll4OFBiU0QwQlBUaFNqa0Rvb3JwRDVuY2g3dHV0d2s3cUE?oc=5"" target=""_blank"">Neutrogena’s White-Cast-Free Sunscreen Stick Is $15 | The Strategist</a>&nbsp;&nbsp;<font color=""#6f6f6f"">New York Magazine</font>","Neutrogena’s White-Cast-Free Sunscreen Stick Is $15 | The Strategist <a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxPcEFUSjRyV0lmOGd0MGZRNFhLZnRzRE04cmpKWThjNjlBUGtkcmlxUW9kb0VuWjQwVkVMUURyREV4NEhseEhNRmNHdTlrTlh4Q0hpT1BKV3dYNE9SWHFfeUJYaXZMNUhJaWNvYlRQRmxSdmpISkpYUDlmUjU4d29yeloweUZGZzhwYUJWVll4OFBiU0QwQlBUaFNqa0Rvb3JwRDVuY2g3dHV0d2s3cUE?oc=5"" target=""_blank"">Neutrogena’s White-Cast-Free Sunscreen Stick Is $15 | The Strategist</a>&nbsp;&nbsp;<font color=""#6f6f6f"">New York Magazine</font>",New York Magazine,2025-07-18,https://news.google.com/rss/articles/CBMirgFBVV95cUxPcEFUSjRyV0lmOGd0MGZRNFhLZnRzRE04cmpKWThjNjlBUGtkcmlxUW9kb0VuWjQwVkVMUURyREV4NEhseEhNRmNHdTlrTlh4Q0hpT1BKV3dYNE9SWHFfeUJYaXZMNUhJaWNvYlRQRmxSdmpISkpYUDlmUjU4d29yeloweUZGZzhwYUJWVll4OFBiU0QwQlBUaFNqa0Rvb3JwRDVuY2g3dHV0d2s3cUE?oc=5
Neutrogena Ultra Sheer Dry-Touch Sunscreen,google_news,article,Jennifer Garner’s Drugstore Product She Says Will Make You ‘Feel Great’ Is On Sale,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxQcjBQRDVWWFduQjdxdlBlM09OTGVmc3V3S0JuLTVjVkY0TFZtVzVrdHJzVU42TUdSWTR6Nl9oeS1nYk5mQmFTSVdEdFAwaFh4cnlpUnRsc01vejNlNEdRa3Z1VjNUUzVEZ1BsOWZZSE04alQyeXg0MnFJUUs4blA1V0lWbVEybE5GXy1HRHFablRiS28zLU01WFlkZTdKZlptV3NHREFaZ2d4Y1dXN29NZ1ZjMkwwdlUtNmVGTVVON004VWp3X3VLb3gxU21ESXYt?oc=5"" target=""_blank"">Jennifer Garner’s Drugstore Product She Says Will Make You ‘Feel Great’ Is On Sale</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Prevention</font>","Jennifer Garner’s Drugstore Product She Says Will Make You ‘Feel Great’ Is On Sale <a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxQcjBQRDVWWFduQjdxdlBlM09OTGVmc3V3S0JuLTVjVkY0TFZtVzVrdHJzVU42TUdSWTR6Nl9oeS1nYk5mQmFTSVdEdFAwaFh4cnlpUnRsc01vejNlNEdRa3Z1VjNUUzVEZ1BsOWZZSE04alQyeXg0MnFJUUs4blA1V0lWbVEybE5GXy1HRHFablRiS28zLU01WFlkZTdKZlptV3NHREFaZ2d4Y1dXN29NZ1ZjMkwwdlUtNmVGTVVON004VWp3X3VLb3gxU21ESXYt?oc=5"" target=""_blank"">Jennifer Garner’s Drugstore Product She Says Will Make You ‘Feel Great’ Is On Sale</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Prevention</font>",Prevention,2025-07-08,https://news.google.com/rss/articles/CBMi0AFBVV95cUxQcjBQRDVWWFduQjdxdlBlM09OTGVmc3V3S0JuLTVjVkY0TFZtVzVrdHJzVU42TUdSWTR6Nl9oeS1nYk5mQmFTSVdEdFAwaFh4cnlpUnRsc01vejNlNEdRa3Z1VjNUUzVEZ1BsOWZZSE04alQyeXg0MnFJUUs4blA1V0lWbVEybE5GXy1HRHFablRiS28zLU01WFlkZTdKZlptV3NHREFaZ2d4Y1dXN29NZ1ZjMkwwdlUtNmVGTVVON004VWp3X3VLb3gxU21ESXYt?oc=5
Neutrogena Ultra Sheer Dry-Touch Sunscreen,google_news,article,and John Cena team up for the ultimate disappearing act in new Ultra Sheer,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxQVzNwZFgwdWFLeHNZOExlamY1SFVqMjdQWUNnbmN1R2c3dWVEdGVkbURxY250V3BPcnRHNkFvZTNrUmdRTXFjNGJIdFo3ejQ0Mll6ckE5VUJzdE90b3Ffc0hWSTdGdnNONll4Nkp6NUtOS2tUVWdmR3FMcXJEUUJ4Y243M0ZFTHZBMUJ2ZlpMUUJ1dw?oc=5"" target=""_blank"">and John Cena team up for the ultimate disappearing act in new Ultra Sheer</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kenvue</font>","and John Cena team up for the ultimate disappearing act in new Ultra Sheer <a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxQVzNwZFgwdWFLeHNZOExlamY1SFVqMjdQWUNnbmN1R2c3dWVEdGVkbURxY250V3BPcnRHNkFvZTNrUmdRTXFjNGJIdFo3ejQ0Mll6ckE5VUJzdE90b3Ffc0hWSTdGdnNONll4Nkp6NUtOS2tUVWdmR3FMcXJEUUJ4Y243M0ZFTHZBMUJ2ZlpMUUJ1dw?oc=5"" target=""_blank"">and John Cena team up for the ultimate disappearing act in new Ultra Sheer</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kenvue</font>",Kenvue,2025-03-31,https://news.google.com/rss/articles/CBMikgFBVV95cUxQVzNwZFgwdWFLeHNZOExlamY1SFVqMjdQWUNnbmN1R2c3dWVEdGVkbURxY250V3BPcnRHNkFvZTNrUmdRTXFjNGJIdFo3ejQ0Mll6ckE5VUJzdE90b3Ffc0hWSTdGdnNONll4Nkp6NUtOS2tUVWdmR3FMcXJEUUJ4Y243M0ZFTHZBMUJ2ZlpMUUJ1dw?oc=5
Neutrogena Ultra Sheer Dry-Touch Sunscreen,google_news,article,T+L Editors' 10 Favorite Travel-size Sunscreens—Including One That's 21% Off,"<a href=""https://news.google.com/rss/articles/CBMidkFVX3lxTE14Q0FoaElTTDBhTjNfRmItOFFpRHRQcTA0XzRGNDE0RWw1RzJPcXpNb0FQX1UtbnhMRm01dHVCa0pneURqQklwVUl2U2d4aGlGeHZfaDFyYzdPQjZLV1F4MTZQZ3hBT3pRR3NyQUtsTUxQV244OHc?oc=5"" target=""_blank"">T+L Editors' 10 Favorite Travel-size Sunscreens—Including One That's 21% Off</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Travel + Leisure</font>","T+L Editors' 10 Favorite Travel-size Sunscreens—Including One That's 21% Off <a href=""https://news.google.com/rss/articles/CBMidkFVX3lxTE14Q0FoaElTTDBhTjNfRmItOFFpRHRQcTA0XzRGNDE0RWw1RzJPcXpNb0FQX1UtbnhMRm01dHVCa0pneURqQklwVUl2U2d4aGlGeHZfaDFyYzdPQjZLV1F4MTZQZ3hBT3pRR3NyQUtsTUxQV244OHc?oc=5"" target=""_blank"">T+L Editors' 10 Favorite Travel-size Sunscreens—Including One That's 21% Off</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Travel + Leisure</font>",Travel + Leisure,2026-02-10,https://news.google.com/rss/articles/CBMidkFVX3lxTE14Q0FoaElTTDBhTjNfRmItOFFpRHRQcTA0XzRGNDE0RWw1RzJPcXpNb0FQX1UtbnhMRm01dHVCa0pneURqQklwVUl2U2d4aGlGeHZfaDFyYzdPQjZLV1F4MTZQZ3hBT3pRR3NyQUtsTUxQV244OHc?oc=5
